#SBND antinu mode flux
#Based on G4BNB, geant4.10.4, Oct 9th 2024
#Elo: Lower bin edge in GeV
#Ehi: Upper bin edge in GeV
#flux    (nu/m^2/10^6 POT/50 MeV)
#  Elo   Ehi       numu      numub        nue       nueb
 5.70   5.75   4.6196e-04  3.9081e-08  7.7462e-07  3.0845e-07
 5.75   5.80   4.3151e-04  0.0000e+00  4.9420e-07  9.7217e-07
 5.80   5.85   3.8935e-04  2.3024e-08  7.3012e-07  2.5502e-07
 5.85   5.90   3.6057e-04  0.0000e+00  5.5032e-07  1.2027e-06
 5.90   5.95   3.2181e-04  0.0000e+00  6.1228e-07  2.3081e-07
 5.95   6.00   3.0265e-04  0.0000e+00  1.6303e-07  5.6200e-07
 6.00   6.05   2.7236e-04  0.0000e+00  1.9268e-07  2.0546e-07
 6.05   6.10   2.4572e-04  0.0000e+00  1.4683e-07  7.4387e-07
 6.10   6.15   2.1419e-04  1.1105e-08  5.0745e-07  8.8159e-07
 6.15   6.20   1.9279e-04  0.0000e+00  1.7422e-08  1.0973e-08
 6.20   6.25   1.7626e-04  0.0000e+00  6.2014e-07  8.1470e-08
 6.25   6.30   1.4711e-04  0.0000e+00  8.6011e-08  1.3450e-08
 6.30   6.35   1.2921e-04  0.0000e+00  7.7248e-07  1.1306e-08
 6.35   6.40   1.1016e-04  0.0000e+00  0.0000e+00  0.0000e+00
 6.40   6.45   8.9777e-05  0.0000e+00  0.0000e+00  1.3162e-08
 6.45   6.50   7.2111e-05  0.0000e+00  1.7582e-08  1.7831e-08
 6.50   6.55   5.8087e-05  0.0000e+00  0.0000e+00  0.0000e+00
 6.55   6.60   4.6198e-05  0.0000e+00  0.0000e+00  0.0000e+00
 6.60   6.65   3.6932e-05  0.0000e+00  6.8494e-07  0.0000e+00
 6.65   6.70   2.5858e-05  0.0000e+00  0.0000e+00  0.0000e+00
 6.70   6.75   1.8270e-05  0.0000e+00  5.7448e-07  0.0000e+00
 6.75   6.80   1.0360e-05  0.0000e+00  0.0000e+00  0.0000e+00
 6.80   6.85   5.0089e-06  0.0000e+00  0.0000e+00  0.0000e+00
 6.85   6.90   1.3282e-06  0.0000e+00  0.0000e+00  0.0000e+00
 6.90   6.95   2.1868e-07  0.0000e+00  0.0000e+00  0.0000e+00
 6.95   7.00   1.9394e-07  0.0000e+00  6.7359e-07  0.0000e+00
 7.00   7.05   3.8361e-08  0.0000e+00  0.0000e+00  0.0000e+00
 7.05   7.10   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 7.10   7.15   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 7.15   7.20   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
