   0.0000000000000000        0.0000000000000000        1.0000000000000000        0.0000000000000000                       Infinity                  Infinity                  Infinity   6.7176225410455555        0.0000000000000000       0.99995541455988091       0.99995541455988091     
  0.10859454551423219       0.45561156444056833       0.98383086642263240        9.1112276245133947E-002   9.5382423138832664        4.4289373655095936        4.2630972787254233        6.7147048692560842        2.3837557007332144       0.68139074423956714       0.66851180721443870     
  0.10990291353247594       0.45834799483654415       0.98363601475481888        9.1659501238043700E-002   9.3115540547512428        4.2826272820138138        4.1203759312802060        6.7146697204477208        2.3980727437449461       0.67814832224126453       0.66517814673653208     
  0.11121128155071971       0.46106818485922374       0.98344116206702781        9.2203478504490385E-002   9.0928303834336788        4.1422922027751836        3.9835306693649137        6.7146345717313549        2.4123048180168505       0.67491869341799726       0.66185853548688023     
  0.11251964956896347       0.46377242027537374       0.98324630835925098        9.2744265191616312E-002   8.8817027623432807        4.0076335361402284        3.8522664732984055        6.7145994231069839        2.4264534186715370       0.67170181222082836       0.65855291952929096     
  0.11382801758720723       0.46646097856817176       0.98305145363148050        9.3281916790026551E-002   8.6778237204747608        3.8783705380340940        3.7263060057856414        6.7145642745746086        2.4405199974921010       0.66849763325516942       0.65526124512500494     
  0.11513638560545099       0.46913412926952464       0.98285659788370849        9.3816487200245158E-002   8.4808654248782336        3.7542390663500642        3.6053883757005205        6.7145291261342281        2.4545059646608101       0.66530611128026351       0.65198345873198649     
  0.11644475362369476       0.47179213427543870       0.98266174111592675        9.4348028795782732E-002   8.2905183638732414        3.6349904347482478        3.4892680006445169        6.7144939777858443        2.4684126904091057       0.66212720120867474       0.64871950700421643     
  0.11775312164193852       0.47443524814548954       0.98246688332812726        9.4876592483023325E-002   8.1064901321262273        3.5203903569447164        3.3777135594117835        6.7144588295294518        2.4822415065844270       0.65896085810577398       0.64546933679098972     
  0.11906148966018226       0.47706371838735617       0.98227202452030216        9.5402227758125527E-002   7.9285043086831744        3.4102179734586966        3.2705070263731124        6.7144236813650586        2.4959937081388892       0.65580703718923095       0.64223289513621173     
  0.12036985767842605       0.47967778572732483       0.98207716469244333        9.5924982761116967E-002   7.7562994199182480        3.3042649535769044        3.1674427805790035        6.7143885332926576        2.5096705545445404       0.65266569382850392       0.63901012927770029     
  0.12167822569666981       0.48227768436759322       0.98188230384454289        9.6444904327349854E-002   7.5896279801331294        3.2023346659994019        3.0683267830835868        6.7143533853122541        2.5232732711395855       0.64953678354433575       0.63580098664648943     
  0.12298659371491355       0.48486364223116013       0.98168744197659263        9.6962038036473283E-002   7.4282556032315510        3.1042414122601705        2.9729758166169784        6.7143182374238446        2.5368030504096324       0.64642026200824798       0.63260541486613453     
  0.12429496173315731       0.48743588119501935       0.98149257908858467        9.7476428259067216E-002   7.2719601795165234        3.0098097175804601        2.8812167822955264        6.7142830896274317        2.5502610532077581       0.64331608504203730       0.62942336175202229     
  0.12560332975140109       0.48999461731233707       0.98129771518051101        9.7988118201072769E-002   7.1205311122091510        2.9188736743156691        2.7928860485594287        6.7142479419230119        2.5636484099169423       0.64022420861727436       0.62625477531067730     
  0.12691169776964484       0.49254006102424019       0.98110285025236366        9.8497149946145585E-002   6.9737686087897508        2.8312763336100790        2.7078288479786301        6.7142127943105887        2.5769662215581270       0.63714458885480441       0.62309960373908357     
  0.12822006578788861       0.49507241736180457       0.98090798430413451        9.9003564496048940E-002   6.8314830227077925        2.7468691412787396        2.6258987179702991        6.7141776467901604        2.5902155608470241       0.63407718202424934       0.61995779542399032     
  0.12952843380613238       0.49759188613879085       0.98071311733581557        9.9507401809196608E-002   6.6934942414109067        2.6655114143008092        2.5469569818348008        6.7141424993617287        2.6033974732024974       0.63102194454351068       0.61682929894123917     
  0.13083680182437613       0.50009866213564091       0.98051824934739895       0.10000870083744834        6.5596311170051660        2.5870698546363133        2.4708722668423690        6.7141073520252901        2.6165129777092280       0.62797883297827395       0.61371406305507814     
  0.13214516984261990       0.50259293527521509       0.98032338033887645       0.10050749956125329        6.4297309361860817        2.5114180973737681        2.3975200563969934        6.7140722047808490        2.6295630680371715       0.62494780404151939       0.61061203671748876     
  0.13345353786086364       0.50507489079071743       0.98012851031024018       0.10100383502323150        6.3036389263761015        2.4384362904826906        2.3267822735689094        6.7140370576284019        2.6425487133201355       0.62192881459302585       0.60752316906751047     
  0.13476190587910741       0.50754470938623109       0.97993363926148214       0.10149774336027752        6.1812077952681586        2.3680107036843761        2.2585468935250916        6.7140019105679496        2.6554708589956957       0.61892182163888321       0.60444740943056874     
  0.13607027389735118       0.51000256739025573       0.97973876719259434       0.10198925983426443        6.0622973012188561        2.3000333641722768        2.1927075826039597        6.7139667635994931        2.6683304276084994       0.61592678233100273       0.60138470731780502     
  0.13737864191559493       0.51244863690261766       0.97954389410356868       0.10247841886142270        5.9467738521511269        2.2344017171089550        2.1291633619748773        6.7139316167230314        2.6811283195788982       0.61294365396663530       0.59833501242540765     
  0.13868700993383870       0.51488308593509802       0.97934901999439694       0.10296525404046282        5.8345101308248113        2.1710183090042792        2.0678182939999945        6.7138964699385655        2.6938654139387079       0.60997239398788017       0.59529827463395335     
  0.13999537795208244       0.51730607854610411       0.97915414486507157       0.10344979817950660        5.7253847445130903        2.1097904922407973        2.0085811895757306        6.7138613232460962        2.7065425690358076       0.60701295998120408       0.59227444400773643     
  0.14130374597032622       0.51971777496969118       0.97895926871558436       0.10393208332188862        5.6192818972833711        2.0506301491570782        1.9513653348758722        6.7138261766456191        2.7191606232091790       0.60406530967696193       0.58926347079411467     
  0.14261211398856999       0.52211833173921907       0.97876439154592731       0.10441214077088500        5.5160910832334151        1.9934534342338905        1.8960882360510116        6.7137910301371386        2.7317203954358695       0.60112940094891287       0.58626530542284916     
  0.14392048200681373       0.52450790180591533       0.97856951335609232       0.10489000111342339        5.4157067991635355        1.9381805330468134        1.8426713805572854        6.7137558837206548        2.7442226859513172       0.59820519181374432       0.58327989850544892     
  0.14522885002505750       0.52688663465259988       0.97837463414607151       0.10536569424282542        5.3180282752911081        1.8847354367592297        1.7910400138970384        6.7137207373961649        2.7566682768443536       0.59529264043059427       0.58030720083451837     
  0.14653721804330125       0.52925467640280788       0.97817975391585676       0.10583924938062884        5.2229592227235724        1.8330457310286992        1.7411229306524134        6.7136855911636699        2.7690579326281273       0.59239170510057604       0.57734716338310677     
  0.14784558606154502       0.53161216992553839       0.97798487266544010       0.10631069509753503        5.1304075965092935        1.7830423982908683        1.6928522787834857        6.7136504450231715        2.7813924007881554       0.58950234426630455       0.57439973730405913     
  0.14915395407978879       0.53395925493584062       0.97778999039481362       0.10678005933352414        5.0402853731771691        1.7346596324672736        1.6461633762442571        6.7136152989746662        2.7936724123085774       0.58662451651142411       0.57146487392937118     
  0.15046232209803254       0.53629606809143837       0.97759510710396913       0.10724736941717762        4.9525083417613072        1.6878346652190559        1.6009945390449438        6.7135801530181585        2.8058986821776988       0.58375818056013873       0.56854252476954326     
  0.15177069011627631       0.53862274308558045       0.97740022279289873       0.10771265208424657        4.8669959073852747        1.6425076029376648        1.5572869199577160        6.7135450071536438        2.8180719098737823       0.58090329527674167       0.56563264151294268     
  0.15307905813452008       0.54093941073629848       0.97720533746159433       0.10817593349550114        4.7836709065497063        1.5986212737260415        1.5149843571248887        6.7135098613811275        2.8301927798320334       0.57805981966514797       0.56273517602516121     
  0.15438742615276382       0.54324619907223692       0.97701045111004803       0.10863723925389478        4.7024594333339556        1.5561210836819990        1.4740332318865508        6.7134747157006025        2.8422619618936742       0.57522771286843211       0.55985008034837891     
  0.15569579417100760       0.54554323341521793       0.97681556373825174       0.10909659442107543        4.6232906757803116        1.5149548818475489        1.4343823351962968        6.7134395701120768        2.8542801117379093       0.57240693416835742       0.55697730670073031     
  0.15700416218925137       0.54783063645969043       0.97662067534619734       0.10955402353327343        4.5460967617852308        1.4750728332368206        1.3959827420421433        6.7134044246155424        2.8662478712976083       0.56959744298491877       0.55411680747567393     
  0.15831253020749511       0.55010852834920509       0.97642578593387708       0.11000955061659501        4.4708126138713453        1.4364272993989919        1.3587876933333429        6.7133692792110065        2.8781658691594139       0.56679919887588048       0.55126853524135599     
  0.15962089822573888       0.55237702675005118       0.97623089550128284       0.11046319920174816        4.3973758122597175        1.3989727260132634        1.3227524847541761        6.7133341338984636        2.8900347209490134       0.56401216153631406       0.54843244273998926     
  0.16092926624398265       0.55463624692218350       0.97603600404840651       0.11091499233822615        4.3257264657053680        1.3626655370505754        1.2878343621229762        6.7132989886779182        2.9018550297022294       0.56123629079814130       0.54560848288722374     
  0.16223763426222640       0.55688630178755860       0.97584111157524012       0.11136495260797352        4.2558070895967237        1.3274640350705318        1.2539924228284272        6.7132638435493650        2.9136273862225415       0.55847154662967935       0.54279660877152591     
  0.16354600228047014       0.55912730199599670       0.97564621808177565       0.11181310213855693        4.1875624908557949        1.2933283072535913        1.2211875229464000        6.7132286985128093        2.9253523694256867       0.55571788913518383       0.53999677365355481     
  0.16485437029871391       0.56135935598867603       0.97545132356800524       0.11225946261586281        4.1209396592091814        1.2602201367976562        1.1893821896695180        6.7131935535682485        2.9370305466718509       0.55297527855439454       0.53720893096554390     
  0.16616273831695769       0.56358257005936552       0.97525642803392065       0.11270405529634236        4.0558876644297612        1.2281029193346433        1.1585405387078604        6.7131584087156826        2.9486624740860421       0.55024367526208706       0.53443303431068601     
  0.16747110633520143       0.56579704841349088       0.97506153147951402       0.11314690101882351        3.9923575591778837        1.1969415840473714        1.1286281963438425        6.7131232639551115        2.9602486968671204       0.54752303976761785       0.53166903746251815     
  0.16877947435344520       0.56800289322512854       0.97486663390477712       0.11358802021590857        3.9303022870952700        1.1667025191894036        1.0996122258463692        6.7130881192865370        2.9717897495859873       0.54481333271447707       0.52891689436430689     
  0.17008784237168897       0.57020020469201460       0.97467173530970230       0.11402743292497475        3.8696765958304917        1.1373535017317857        1.0714610579706008        6.7130529747099565        2.9832861564733979       0.54211451487984208       0.52617655912844252     
  0.17139621038993272       0.57238908108865416       0.97447683569428134       0.11446515879879490        3.8104369546948389        1.1088636308792676        1.0441444252880971        6.7130178302253709        2.9947384316978134       0.53942654717412963       0.52344798603582743     
  0.17270457840817649       0.57456961881760904       0.97428193505850624       0.11490121711579390        3.7525414766701632        1.0812032652171173        1.0176333001105338        6.7129826858327837        3.0061470796337533       0.53674939064055294       0.52073112953527301     
